DateTime,Users,In-Game
10/13/2018 0:00,15603902,4845094
10/14/2018 0:00,15871627,4694073
10/15/2018 0:00,13716388,3789349
10/16/2018 0:00,13429728,3694370
10/17/2018 0:00,13525176,3698574
10/18/2018 0:00,13570871,3698101
10/19/2018 0:00,14376832,4175403
10/20/2018 0:00,15990543,4928988
10/21/2018 0:00,16222171,4837555
10/22/2018 0:00,13970807,3859288
10/23/2018 0:00,13873841,3795685
10/24/2018 0:00,13976227,3814802
10/25/2018 0:00,13945106,3835062
10/26/2018 0:00,14771024,4236914
10/27/2018 0:00,16243315,4877855
10/28/2018 0:00,16212253,4765453
10/29/2018 0:00,13944254,3816097
10/30/2018 0:00,13978642,3790906
10/31/2018 0:00,13940576,3811397
11/1/2018 0:00,14496542,4023700
11/2/2018 0:00,14924266,4381979
11/3/2018 0:00,16118657,4782816
11/4/2018 0:00,16070967,4670058
11/5/2018 0:00,13629346,3654167
11/6/2018 0:00,13535628,3542185
11/7/2018 0:00,13470416,3523285
11/8/2018 0:00,13314730,3495285
11/9/2018 0:00,14139391,4038013
11/10/2018 0:00,16178997,4822246
11/11/2018 0:00,16158752,4696838
11/12/2018 0:00,13917142,3680314
11/13/2018 0:00,13339121,3529744
11/14/2018 0:00,13181742,3474373
11/15/2018 0:00,13190063,3555317
11/16/2018 0:00,14139505,3996165
11/17/2018 0:00,15936931,4711399
11/18/2018 0:00,16033390,4657739
11/19/2018 0:00,13843028,3588368
11/20/2018 0:00,13747707,3682323
11/21/2018 0:00,13815779,3656957
11/22/2018 0:00,14177886,3845094
11/23/2018 0:00,14877122,4159517
11/24/2018 0:00,16494360,4946036
11/25/2018 0:00,16607492,4888333
11/26/2018 0:00,14152745,3793390
11/27/2018 0:00,13992811,3757612
11/28/2018 0:00,13791232,3719830
11/29/2018 0:00,13728898,3739376
11/30/2018 0:00,14686463,4173583
12/1/2018 0:00,16371766,4935137
12/2/2018 0:00,16450588,4859159
12/3/2018 0:00,13853565,3702386
12/4/2018 0:00,13799615,3648298
12/5/2018 0:00,13832515,3684270
12/6/2018 0:00,13782278,3621498
12/7/2018 0:00,15227194,4293873
12/8/2018 0:00,16913969,5103845
12/9/2018 0:00,16903156,5033806
12/10/2018 0:00,14467876,3889808
12/11/2018 0:00,14264975,3827209
12/12/2018 0:00,14095192,3779770
12/13/2018 0:00,13831313,3759846
12/14/2018 0:00,14768223,4223134
12/15/2018 0:00,16497087,4935697
12/16/2018 0:00,16664337,4904289
12/17/2018 0:00,14316231,3844026
12/18/2018 0:00,14329948,3890689
12/19/2018 0:00,14791903,4165422
12/20/2018 0:00,14685628,4279036
12/21/2018 0:00,15738271,4710838
12/22/2018 0:00,16941351,5283540
12/23/2018 0:00,16909148,5325202
12/24/2018 0:00,15869406,4784527
12/25/2018 0:00,15339174,4634519
